Trader Madness,@TraderMadness,May 2,$TGCB = cyber-drama streaming service$AMC $NFLX $DIS $ROKU $CURI $FUBO $DDOG $CRWD $FTNT $PANW $OKTA,[]
PolarStocks,@PolarStocks,May 2,"REAL-TIME WATCHLIST ALERTPolar AI just analyzed 3,000 + stocks…BUY Signals Triggered = $ACCD$ANET$BAYRY$BP$CRUS$DV$FCX$FSLR$FTNT$MPC$PAGP$PANW$SAN$SMAR#stocks #stockstobuy #trading #stockmarket #investing",[]
Tuan Pham,@15minofPham,May 2,"Morning cratering (Min 5X Tues avg, -1%): $PANW $USO $ET $MU $XLF $IWM $XOP $XLI $EWZ $ABNB $DIA $PTON $BAC $GS $HD $XBI $PINS $KRE $MPW $V $PLUG $IBM $PARA",[]
OptionsPro MaxPain,@OptionsMaxPain,May 2,#Options #maxpain chart for $PANW. Free options app http://aiportfolio.io,[]
Rayno in the Clouds,@rayno,May 2,Blue Horshoe is worried about $PANW,"['💨', '🤓']"
Wall Street Snacks,@WallStSnacks,May 2,"Bull ForecastsMay 02, 2023 11:09:00 PDTticker : percent change intraday$BUD : -0.61$GS : -1.59$SPY : -0.86$TGT : -0.64$WMT : -0.33$COIN : 3.03$MCD : 0.36$PANW : -2.52$CVNA : 5.28$JD : -2.39","['🐂', '🐂', '🐂', '🐂', '🐂']"
Open Outcrier,@OpenOutcrier,May 2,+Initiations 5/2: $ALTI $AMRC $CAKE $CHPT $COLL $CRWD $CYBR $FTNT $GIL $PANW $PL $POST $PRTK $SANA $TFPM $ZS .-Initiations 5/2:,[]
Justin Pulitzer,@JustinPulitzer,May 2,$PANW looks like or may want that 100MA & 200MA confluence for a bounce play setup.,[]
Stock Screener Bot,@stockscreenhq,May 1,"Here is a list of 15 cybersecurity (#network, #tech) stocks with market cap of over 1 billion, ranked by their 1 day performance. $S, $VMW, $ATEN, $PANW, $FORG, $CYBR, $RPD, $OKTA, $NLOK, $FTNT, $HACK, $CRWD, $QLYS, $SPLK, $ZS","['🚀', 'Here is a list of 15 cybersecurity (#network, #tech) stocks with market cap of over 1 billion, ranked by their 1 day performance. 🚀\n\n$S, $VMW, $ATEN, $PANW, $FORG, $CYBR, $RPD, $OKTA, $NLOK, $FTNT, $HACK, $CRWD, $QLYS, $SPLK, $ZS']"
unusualwhales.com Snorlax (๑❛ ڡ ❛๑),@snorlax_uw,May 2,Analyst Upgrade: $AMZN PT 120$ANET 175 > 195$DELL 45 > 55$PENN 35 > 40$TTWO 127 > 150Downgrade: $CHGG 25 > 11$COIN 80 > 65$CVS 107 > 93$SOFI 8 > 5$UAA PT 9$VSCO PT 35Initiated: $CRWD at 170$CYBR at 175$FTNT at 80$PANW at 250$ZS at 135https://unusualwhales.com/analysts,[]
The Stock Trader Hub,@StockTraderHub,May 2,Tuesday’s biggest analyst calls of the day:Cowen reiterates Target and Walmart as outperformRosenblatt initiates Palo Alto Networks as buyCiti downgrades Coinbase to neutral from buyJefferies downgrades Chegg to hold from buy$TGT $WMT $PANW $COIN $CHGG,[]
Open Outcrier,@OpenOutcrier,May 2,$AXON (+0.9% pre) Axon (AXON) to replace $FRC First Republic in S&P 500$PANW (-0.7% pre) Was rumored yesterday to get S&P 500 inclusionhttp://ooc.bz/l/127682,[]
Diya,@Agnes94304501,May 2,$panw  *Top analyst price target for next week ,"['📈', '📉', '🚀']"
Top Breakout Stocks,@Aaban23177657,May 2,$panw Top analyst price target for next week ,['💰']
DiamondPlayzzz,@DiamondPlayzzzz,May 2,BUZZZEEERRR $PANW 185c .43avg 11contracts,[]
Nondita,@TinaBai99786460,May 2,$panw *Top analyst price target for next week ,"['📈', '📉', '🚀']"
Stock News,@luna84991997,May 2,$panw  Top analyst price target for next week ,['💰']
Stock News,@Merry38132948,May 1,$panw Top analyst price target for next week ,['💰']
Dave,@DavidPe05712916,May 2,$panw *Top analyst price target for next week  ,"['📈', '📉', '🚀']"
Lisa,@TamiLyo83158337,May 2,$panw *Top analyst price target for next week  ,"['📈', '📉', '🚀']"
Nisha,@Jhum78281941,May 2,$panw  *Top analyst price target for next week ,"['📈', '📉', '🚀']"
Dave,@DavidPe05712916,May 2,$panw *Top analyst price target for next week  ,"['📈', '📉', '🚀']"
Lisa,@TamiLyo83158337,May 2,$panw *Top analyst price target for next week  ,"['📈', '📉', '🚀']"
Nisha,@Jhum78281941,May 2,$panw  *Top analyst price target for next week ,"['📈', '📉', '🚀']"
Stock Pro,@Deirdre27476705,May 2,$panw  *Top analyst price target for next week ,"['📈', '📉', '🚀']"
